#x [m],y [m],z [m],x [V/m],y [V/m],z [V/m]
Sample 1 time=5
0,0.0125,-0.1275,4.05596,-13640.4,-11.1496
0,0.0135,-0.1275,-10.3996,-13495.8,2.37333
0,0.0145,-0.1275,-25.6399,-13349.8,11.5886
0,0.0155,-0.1275,-41.6649,-13202.6,16.4963
0,0.0165,-0.1275,-58.4746,-13054,17.0965
0,0.0175,-0.1275,-76.0689,-12904.1,13.3895
0,0.0185,-0.1275,-94.4479,-12752.9,5.37472
0,0.0195,-0.1275,-113.612,-12600.4,-6.94792
0,0.0205,-0.1275,-106.653,-12427.3,-23.0561
0,0.0215,-0.1275,-97.291,-12249.7,-39.3232
0,0.0225,-0.1275,-87.5981,-12069.1,-55.6332
0,0.0235,-0.1275,-77.5747,-11885.6,-71.9864
0,0.0245,-0.1275,-67.2208,-11699,-88.3832
0,0.0255,-0.1275,-56.5364,-11509.3,-104.823
0,0.0265,-0.1275,-45.5215,-11316.7,-121.307
0,0.0275,-0.1275,-34.1762,-11121.1,-137.834
0,0.0285,-0.1275,-22.5003,-10922.4,-154.404
0,0.0295,-0.1275,-10.494,-10720.8,-171.018
0,0.0305,-0.1275,1.84283,-10516.1,-187.675
0,0.0315,-0.1275,14.3328,-10300,-204.257
0,0.0325,-0.1275,17.413,-10071.7,-194.028
0,0.0335,-0.1275,14.4695,-9854.09,-168.645
0,0.0345,-0.1275,11.7026,-9637.26,-145.601
0,0.0355,-0.1275,9.11229,-9421.18,-124.896
0,0.0365,-0.1275,6.69875,-9205.85,-106.529
0,0.0375,-0.1275,4.4618,-8991.27,-90.5015
0,0.0385,-0.1275,2.40149,-8777.44,-76.8127
0,0.0395,-0.1275,0.517866,-8564.36,-65.4627
0,0.0405,-0.1275,-1.18911,-8352.03,-56.452
0,0.0415,-0.1275,-2.71941,-8140.45,-49.7797
0,0.0425,-0.1275,-4.07307,-7929.62,-45.4463
0,0.0435,-0.1275,-5.25004,-7719.54,-43.4522
0,0.0445,-0.1275,-6.25039,-7510.2,-43.7966
0,0.0455,-0.1275,-7.07405,-7301.62,-46.4795
0,0.0465,-0.1275,-7.7211,-7093.79,-51.5017
0,0.0475,-0.1275,-8.19148,-6886.71,-58.8627
0,0.0485,-0.1275,-8.48517,-6680.38,-68.5621
0,0.0495,-0.1275,-8.60223,-6474.79,-80.6007
0,0.0505,-0.1275,-8.54264,-6269.96,-94.9788
0,0.0515,-0.1275,-8.30637,-6065.88,-111.695
0,0.0525,-0.1275,-7.89345,-5862.54,-130.75
0,0.0535,-0.1275,0.748502,-5666.67,-123.945
0,0.0545,-0.1275,2.83381,-5486.45,-122.683
0,0.0555,-0.1275,3.33379,-5308.99,-123.609
0,0.0565,-0.1275,3.76387,-5133.07,-123.897
0,0.0575,-0.1275,4.12412,-4958.69,-123.548
0,0.0585,-0.1275,4.41448,-4785.87,-122.561
0,0.0595,-0.1275,4.63501,-4614.58,-120.936
0,0.0605,-0.1275,4.78566,-4444.85,-118.674
0,0.0615,-0.1275,4.86643,-4276.66,-115.774
0,0.0625,-0.1275,4.87737,-4110.01,-112.236
0,0.0635,-0.1275,4.81848,-3944.91,-108.06
0,0.0645,-0.1275,4.68967,-3781.35,-103.247
0,0.0655,-0.1275,4.491,-3619.34,-97.7955
0,0.0665,-0.1275,4.22246,-3458.88,-91.7066
0,0.0675,-0.1275,3.88411,-3299.96,-84.98
